ID,Article Title,prediction type,dependency,Publication Year,Source Title,JCR,CAS,mID,metrics,suit,category
142,An Empirical Study on The Impact of The Interaction between Feature Selection and Sampling in Defect Prediction,Intra-release,defect-prone,2020,2020 7th International Conference on Dependable Systems and Their Applications (DSA),0,0,66,difficulty,Halstead,traditional
146,Deep learning based software defect prediction,Intra-release,defect-number,2020,Neurocomputing,0,0,66,difficulty,Halstead,traditional
154,The Impact of Feature Selection on Defect Prediction Performance: An Empirical Comparison,Intra-release,defect-prone,2016,2016 IEEE 27th International Symposium on Software Reliability Engineering (ISSRE),0,0,66,difficulty,Halstead,traditional
1,Predicting aging-related bugs using software complexity metrics,Inter-release,defect-prone,2013,PERFORMANCE EVALUATION,3,4,67,effort,Halstead,traditional
2,Influence of confirmation biases of developers on software quality: an empirical study,Inter-release,defect-density,2013,SOFTWARE QUALITY JOURNAL,3,4,67,effort,Halstead,traditional
5,A STUDY OF SOFTWARE METRIC SELECTION TECHNIQUES: STABILITY ANALYSIS AND DEFECT PREDICTION MODEL PERFORMANCE,Inter-release,defect-prone,2013,INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS,4,4,67,effort,Halstead,traditional
7,Two-Stage Cost-Sensitive Learning for Software Defect Prediction,Intra-release,defect-prone,2014,IEEE TRANSACTIONS ON RELIABILITY,1,2,67,effort,Halstead,traditional
14,Improving Recall of software defect prediction models using association mining,Intra-release,defect-prone,2015,KNOWLEDGE-BASED SYSTEMS,1,1,67,effort,Halstead,traditional
18,Software defect prediction using ensemble learning on selected features,Intra-release,defect-prone,2015,INFORMATION AND SOFTWARE TECHNOLOGY,2,2,67,effort,Halstead,traditional
25,Empirical analysis of network measures for predicting high severity software faults,Inter-release/Cross-project,defect-prone,2016,SCIENCE CHINA-INFORMATION SCIENCES,1,2,67,effort,Halstead,traditional
27,SAMPLING IMBALANCE DATASET FOR SOFTWARE DEFECT PREDICTION USING HYBRID NEURO-FUZZY SYSTEMS WITH NAIVE BAYES CLASSIFIER,Intra-release,defect-prone,2016,TEHNICKI VJESNIK-TECHNICAL GAZETTE,4,4,67,effort,Halstead,traditional
28,Empirical Studies of a Two-Stage Data Preprocessing Approach for Software Fault Prediction,Intra-release,defect-prone,2016,IEEE TRANSACTIONS ON RELIABILITY,1,2,67,effort,Halstead,traditional
31,A Combined-Learning Based Framework for Improved Software Fault Prediction,Intra-release,defect-prone,2017,INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,3,4,67,effort,Halstead,traditional
32,A feature selection approach based on a similarity measure for software defect prediction,Intra-release,defect-prone,2017,FRONTIERS OF INFORMATION TECHNOLOGY & ELECTRONIC ENGINEERING,2,3,67,effort,Halstead,traditional
38,A Framework for Software Defect Prediction and Metric Selection,Intra-release,defect-prone,2018,IEEE ACCESS,2,3,67,effort,Halstead,traditional
44,Deep neural network based hybrid approach for software defect prediction using software metrics,Intra-release,defect-prone,2019,CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,2,4,67,effort,Halstead,traditional
48,Software defect prediction techniques using metrics based on neural network classifier,Intra-release,defect-prone,2019,CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,2,4,67,effort,Halstead,traditional
49,Performance Analysis of Feature Selection Methods in Software Defect Prediction: A Search Method Approach,Intra-release,defect-prone,2019,APPLIED SCIENCES-BASEL,2,4,67,effort,Halstead,traditional
52,Feature selection using firefly algorithm in software defect prediction,Intra-release,defect-prone,2019,CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,4,4,67,effort,Halstead,traditional
55,Majority Vote Feature Selection Algorithm in Software Fault Prediction,Intra-release,defect-prone,2019,COMPUTER SCIENCE AND INFORMATION SYSTEMS,4,4,67,effort,Halstead,traditional
58,An Empirical Study for Enhanced Software Defect Prediction Using a Learning-Based Framework,Intra-release,defect-prone,2019,INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,3,4,67,effort,Halstead,traditional
59,A Hybrid Feature Selection Method for Software Fault Prediction,Intra-release,defect-prone,2019,IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,4,4,67,effort,Halstead,traditional
68,A Novel Feature Selection Method Based on Maximum Likelihood Logistic Regression for Imbalanced Learning in Software Defect Prediction,Intra-release,defect-prone,2020,INTERNATIONAL ARAB JOURNAL OF INFORMATION TECHNOLOGY,4,4,67,effort,Halstead,traditional
69,Software Defect Prediction Based on Stacked Contractive Autoencoder and Multi-Objective Optimization,Intra-release,defect-prone,2020,CMC-COMPUTERS MATERIALS & CONTINUA,3,4,67,effort,Halstead,traditional
77,Improved prediction of software defects using ensemble machine learning techniques,Intra-release,defect-prone,2021,NEURAL COMPUTING & APPLICATIONS,2,3,67,effort,Halstead,traditional
81,Feature Selection Using Artificial Immune Network: An Approach for Software Defect Prediction,Intra-release,defect-prone,2021,INTELLIGENT AUTOMATION AND SOFT COMPUTING,3,4,67,effort,Halstead,traditional
82,A Novel Rank Aggregation-Based Hybrid Multifilter Wrapper Feature Selection Method in Software Defect Prediction,Intra-release,defect-prone,2021,COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE,2,3,67,effort,Halstead,traditional
83,Discriminating features-based cost-sensitive approach for software defect prediction,Intra-release,defect-prone,2021,AUTOMATED SOFTWARE ENGINEERING,2,3,67,effort,Halstead,traditional
84,Analysis and modeling conditional mutual dependency of metrics in software defect prediction using latent variables,Inter-release/Cross-project,defect-prone,2021,NEUROCOMPUTING,2,2,67,effort,Halstead,traditional
89,Research on Cross-Company Defect Prediction Method to Improve Software Security,Cross-project(Cross-company),defect-prone,2021,SECURITY AND COMMUNICATION NETWORKS,3,4,67,effort,Halstead,traditional
91,RFC: a feature selection algorithm for software defect prediction,Intra-release,defect-prone,2021,JOURNAL OF SYSTEMS ENGINEERING AND ELECTRONICS,3,3,67,effort,Halstead,traditional
96,Software defect prediction based on stacked sparse denoising autoencoders and enhanced extreme learning machine,Intra-release,defect-prone,2022,IET SOFTWARE,3,4,67,effort,Halstead,traditional
101,A Comparative Analysis of SVM and ELM Classification on Software Reliability Prediction Model,Intra-release,defect-prone,2022,ELECTRONICS,2,3,67,effort,Halstead,traditional
102,A software defect prediction method with metric compensation based on feature selection and transfer learning,Cross-project,defect-prone,2022,FRONTIERS OF INFORMATION TECHNOLOGY & ELECTRONIC ENGINEERING,2,3,67,effort,Halstead,traditional
104,Genetic Evolution-Based Feature Selection for Software Defect Prediction Using SVMs,Intra-release,defect-prone,2022,JOURNAL OF CIRCUITS SYSTEMS AND COMPUTERS,4,4,67,effort,Halstead,traditional
106,Software fault prediction using evolving populations with mathematical diversification,Intra-release,defect-prone,2022,SOFT COMPUTING,2,3,67,effort,Halstead,traditional
106,Software fault prediction using evolving populations with mathematical diversification,Intra-release,defect-prone,2022,SOFT COMPUTING,2,3,67,effort,Halstead,traditional
108,Improved mayfly optimization deep stacked sparse auto encoder feature selection scorched gradient descent driven dropout XLM learning framework for software defect prediction,Intra-release,defect-prone,2022,CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,3,4,67,effort,Halstead,traditional
110,A novel multi-view ordinal classification approach for software bug prediction,Intra-release,defect-prone,2022,EXPERT SYSTEMS,2,4,67,effort,Halstead,traditional
111,Causally Remove Negative Confound Effects of Size Metric for Software Defect Prediction,Intra-release,defect-prone,2022,APPLIED SCIENCES-BASEL,2,4,67,effort,Halstead,traditional
115,A feature selection model for software defect prediction using binary Rao optimization algorithm,Intra-release,defect-prone,2022,APPLIED SOFT COMPUTING,1,2,67,effort,Halstead,traditional
122,Combining Deep Learning and Kernel PCA for Software Defect Prediction,Intra-release,defect-prone,2022,Association for Computing Machinery,0,0,67,effort,Halstead,traditional
124,Performance Analysis of Feature Selection Techniques in Software Defect Prediction using Machine Learning,Intra-release,defect-prone,2022,"2022 International Conference on Advancements in Smart, Secure and Intelligent Computing (ASSIC)",0,0,67,effort,Halstead,traditional
125,Software Defect Density Prediction Using Deep Learning,Cross-project,defect-density,2022,IEEE Access,0,0,67,effort,Halstead,traditional
127,Search-based Feature Selection for Cross-Project Fault Prediction,Cross-project,defect-prone,2022,2022 IEEE Pune Section International Conference (PuneCon),0,0,67,effort,Halstead,traditional
142,An Empirical Study on The Impact of The Interaction between Feature Selection and Sampling in Defect Prediction,Intra-release,defect-prone,2020,2020 7th International Conference on Dependable Systems and Their Applications (DSA),0,0,67,effort,Halstead,traditional
146,Deep learning based software defect prediction,Intra-release,defect-number,2020,Neurocomputing,0,0,67,effort,Halstead,traditional
154,The Impact of Feature Selection on Defect Prediction Performance: An Empirical Comparison,Intra-release,defect-prone,2016,2016 IEEE 27th International Symposium on Software Reliability Engineering (ISSRE),0,0,67,effort,Halstead,traditional
1,Predicting aging-related bugs using software complexity metrics,Inter-release,defect-prone,2013,PERFORMANCE EVALUATION,3,4,68,Error est,Halstead,traditional
2,Influence of confirmation biases of developers on software quality: an empirical study,Inter-release,defect-density,2013,SOFTWARE QUALITY JOURNAL,3,4,68,Error est,Halstead,traditional
5,A STUDY OF SOFTWARE METRIC SELECTION TECHNIQUES: STABILITY ANALYSIS AND DEFECT PREDICTION MODEL PERFORMANCE,Inter-release,defect-prone,2013,INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS,4,4,68,Error est,Halstead,traditional
7,Two-Stage Cost-Sensitive Learning for Software Defect Prediction,Intra-release,defect-prone,2014,IEEE TRANSACTIONS ON RELIABILITY,1,2,68,Error est,Halstead,traditional
14,Improving Recall of software defect prediction models using association mining,Intra-release,defect-prone,2015,KNOWLEDGE-BASED SYSTEMS,1,1,68,Error est,Halstead,traditional
25,Empirical analysis of network measures for predicting high severity software faults,Inter-release/Cross-project,defect-prone,2016,SCIENCE CHINA-INFORMATION SCIENCES,1,2,68,Error est,Halstead,traditional
27,SAMPLING IMBALANCE DATASET FOR SOFTWARE DEFECT PREDICTION USING HYBRID NEURO-FUZZY SYSTEMS WITH NAIVE BAYES CLASSIFIER,Intra-release,defect-prone,2016,TEHNICKI VJESNIK-TECHNICAL GAZETTE,4,4,68,Error est,Halstead,traditional
28,Empirical Studies of a Two-Stage Data Preprocessing Approach for Software Fault Prediction,Intra-release,defect-prone,2016,IEEE TRANSACTIONS ON RELIABILITY,1,2,68,Error est,Halstead,traditional
31,A Combined-Learning Based Framework for Improved Software Fault Prediction,Intra-release,defect-prone,2017,INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,3,4,68,Error est,Halstead,traditional
32,A feature selection approach based on a similarity measure for software defect prediction,Intra-release,defect-prone,2017,FRONTIERS OF INFORMATION TECHNOLOGY & ELECTRONIC ENGINEERING,2,3,68,Error est,Halstead,traditional
38,A Framework for Software Defect Prediction and Metric Selection,Intra-release,defect-prone,2018,IEEE ACCESS,2,3,68,Error est,Halstead,traditional
44,Deep neural network based hybrid approach for software defect prediction using software metrics,Intra-release,defect-prone,2019,CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,2,4,68,Error est,Halstead,traditional
48,Software defect prediction techniques using metrics based on neural network classifier,Intra-release,defect-prone,2019,CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,2,4,68,Error est,Halstead,traditional
49,Performance Analysis of Feature Selection Methods in Software Defect Prediction: A Search Method Approach,Intra-release,defect-prone,2019,APPLIED SCIENCES-BASEL,2,4,68,Error est,Halstead,traditional
52,Feature selection using firefly algorithm in software defect prediction,Intra-release,defect-prone,2019,CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,4,4,68,Error est,Halstead,traditional
55,Majority Vote Feature Selection Algorithm in Software Fault Prediction,Intra-release,defect-prone,2019,COMPUTER SCIENCE AND INFORMATION SYSTEMS,4,4,68,Error est,Halstead,traditional
58,An Empirical Study for Enhanced Software Defect Prediction Using a Learning-Based Framework,Intra-release,defect-prone,2019,INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,3,4,68,Error est,Halstead,traditional
59,A Hybrid Feature Selection Method for Software Fault Prediction,Intra-release,defect-prone,2019,IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,4,4,68,Error est,Halstead,traditional
68,A Novel Feature Selection Method Based on Maximum Likelihood Logistic Regression for Imbalanced Learning in Software Defect Prediction,Intra-release,defect-prone,2020,INTERNATIONAL ARAB JOURNAL OF INFORMATION TECHNOLOGY,4,4,68,Error est,Halstead,traditional
69,Software Defect Prediction Based on Stacked Contractive Autoencoder and Multi-Objective Optimization,Intra-release,defect-prone,2020,CMC-COMPUTERS MATERIALS & CONTINUA,3,4,68,Error est,Halstead,traditional
77,Improved prediction of software defects using ensemble machine learning techniques,Intra-release,defect-prone,2021,NEURAL COMPUTING & APPLICATIONS,2,3,68,Error est,Halstead,traditional
81,Feature Selection Using Artificial Immune Network: An Approach for Software Defect Prediction,Intra-release,defect-prone,2021,INTELLIGENT AUTOMATION AND SOFT COMPUTING,3,4,68,Error est,Halstead,traditional
82,A Novel Rank Aggregation-Based Hybrid Multifilter Wrapper Feature Selection Method in Software Defect Prediction,Intra-release,defect-prone,2021,COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE,2,3,68,Error est,Halstead,traditional
83,Discriminating features-based cost-sensitive approach for software defect prediction,Intra-release,defect-prone,2021,AUTOMATED SOFTWARE ENGINEERING,2,3,68,Error est,Halstead,traditional
84,Analysis and modeling conditional mutual dependency of metrics in software defect prediction using latent variables,Inter-release/Cross-project,defect-prone,2021,NEUROCOMPUTING,2,2,68,Error est,Halstead,traditional
89,Research on Cross-Company Defect Prediction Method to Improve Software Security,Cross-project(Cross-company),defect-prone,2021,SECURITY AND COMMUNICATION NETWORKS,3,4,68,Error est,Halstead,traditional
91,RFC: a feature selection algorithm for software defect prediction,Intra-release,defect-prone,2021,JOURNAL OF SYSTEMS ENGINEERING AND ELECTRONICS,3,3,68,Error est,Halstead,traditional
96,Software defect prediction based on stacked sparse denoising autoencoders and enhanced extreme learning machine,Intra-release,defect-prone,2022,IET SOFTWARE,3,4,68,Error est,Halstead,traditional
101,A Comparative Analysis of SVM and ELM Classification on Software Reliability Prediction Model,Intra-release,defect-prone,2022,ELECTRONICS,2,3,68,Error est,Halstead,traditional
102,A software defect prediction method with metric compensation based on feature selection and transfer learning,Cross-project,defect-prone,2022,FRONTIERS OF INFORMATION TECHNOLOGY & ELECTRONIC ENGINEERING,2,3,68,Error est,Halstead,traditional
104,Genetic Evolution-Based Feature Selection for Software Defect Prediction Using SVMs,Intra-release,defect-prone,2022,JOURNAL OF CIRCUITS SYSTEMS AND COMPUTERS,4,4,68,Error est,Halstead,traditional
106,Software fault prediction using evolving populations with mathematical diversification,Intra-release,defect-prone,2022,SOFT COMPUTING,2,3,68,Error est,Halstead,traditional
108,Improved mayfly optimization deep stacked sparse auto encoder feature selection scorched gradient descent driven dropout XLM learning framework for software defect prediction,Intra-release,defect-prone,2022,CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,3,4,68,Error est,Halstead,traditional
110,A novel multi-view ordinal classification approach for software bug prediction,Intra-release,defect-prone,2022,EXPERT SYSTEMS,2,4,68,Error est,Halstead,traditional
111,Causally Remove Negative Confound Effects of Size Metric for Software Defect Prediction,Intra-release,defect-prone,2022,APPLIED SCIENCES-BASEL,2,4,68,Error est,Halstead,traditional
115,A feature selection model for software defect prediction using binary Rao optimization algorithm,Intra-release,defect-prone,2022,APPLIED SOFT COMPUTING,1,2,68,Error est,Halstead,traditional
122,Combining Deep Learning and Kernel PCA for Software Defect Prediction,Intra-release,defect-prone,2022,Association for Computing Machinery,0,0,68,Error est,Halstead,traditional
124,Performance Analysis of Feature Selection Techniques in Software Defect Prediction using Machine Learning,Intra-release,defect-prone,2022,"2022 International Conference on Advancements in Smart, Secure and Intelligent Computing (ASSIC)",0,0,68,Error est,Halstead,traditional
125,Software Defect Density Prediction Using Deep Learning,Cross-project,defect-density,2022,IEEE Access,0,0,68,Error est,Halstead,traditional
127,Search-based Feature Selection for Cross-Project Fault Prediction,Cross-project,defect-prone,2022,2022 IEEE Pune Section International Conference (PuneCon),0,0,68,Error est,Halstead,traditional
142,An Empirical Study on The Impact of The Interaction between Feature Selection and Sampling in Defect Prediction,Intra-release,defect-prone,2020,2020 7th International Conference on Dependable Systems and Their Applications (DSA),0,0,68,Error est,Halstead,traditional
146,Deep learning based software defect prediction,Intra-release,defect-number,2020,Neurocomputing,0,0,68,Error est,Halstead,traditional
154,The Impact of Feature Selection on Defect Prediction Performance: An Empirical Comparison,Intra-release,defect-prone,2016,2016 IEEE 27th International Symposium on Software Reliability Engineering (ISSRE),0,0,68,Error est,Halstead,traditional
1,Predicting aging-related bugs using software complexity metrics,Inter-release,defect-prone,2013,PERFORMANCE EVALUATION,3,4,69,length,Halstead,traditional
2,Influence of confirmation biases of developers on software quality: an empirical study,Inter-release,defect-density,2013,SOFTWARE QUALITY JOURNAL,3,4,69,length,Halstead,traditional
5,A STUDY OF SOFTWARE METRIC SELECTION TECHNIQUES: STABILITY ANALYSIS AND DEFECT PREDICTION MODEL PERFORMANCE,Inter-release,defect-prone,2013,INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS,4,4,69,length,Halstead,traditional
7,Two-Stage Cost-Sensitive Learning for Software Defect Prediction,Intra-release,defect-prone,2014,IEEE TRANSACTIONS ON RELIABILITY,1,2,69,length,Halstead,traditional
14,Improving Recall of software defect prediction models using association mining,Intra-release,defect-prone,2015,KNOWLEDGE-BASED SYSTEMS,1,1,69,length,Halstead,traditional
18,Software defect prediction using ensemble learning on selected features,Intra-release,defect-prone,2015,INFORMATION AND SOFTWARE TECHNOLOGY,2,2,69,length,Halstead,traditional
25,Empirical analysis of network measures for predicting high severity software faults,Inter-release/Cross-project,defect-prone,2016,SCIENCE CHINA-INFORMATION SCIENCES,1,2,69,length,Halstead,traditional
27,SAMPLING IMBALANCE DATASET FOR SOFTWARE DEFECT PREDICTION USING HYBRID NEURO-FUZZY SYSTEMS WITH NAIVE BAYES CLASSIFIER,Intra-release,defect-prone,2016,TEHNICKI VJESNIK-TECHNICAL GAZETTE,4,4,69,length,Halstead,traditional
28,Empirical Studies of a Two-Stage Data Preprocessing Approach for Software Fault Prediction,Intra-release,defect-prone,2016,IEEE TRANSACTIONS ON RELIABILITY,1,2,69,length,Halstead,traditional
31,A Combined-Learning Based Framework for Improved Software Fault Prediction,Intra-release,defect-prone,2017,INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,3,4,69,length,Halstead,traditional
32,A feature selection approach based on a similarity measure for software defect prediction,Intra-release,defect-prone,2017,FRONTIERS OF INFORMATION TECHNOLOGY & ELECTRONIC ENGINEERING,2,3,69,length,Halstead,traditional
38,A Framework for Software Defect Prediction and Metric Selection,Intra-release,defect-prone,2018,IEEE ACCESS,2,3,69,length,Halstead,traditional
44,Deep neural network based hybrid approach for software defect prediction using software metrics,Intra-release,defect-prone,2019,CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,2,4,69,length,Halstead,traditional
48,Software defect prediction techniques using metrics based on neural network classifier,Intra-release,defect-prone,2019,CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,2,4,69,length,Halstead,traditional
49,Performance Analysis of Feature Selection Methods in Software Defect Prediction: A Search Method Approach,Intra-release,defect-prone,2019,APPLIED SCIENCES-BASEL,2,4,69,length,Halstead,traditional
52,Feature selection using firefly algorithm in software defect prediction,Intra-release,defect-prone,2019,CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,4,4,69,length,Halstead,traditional
55,Majority Vote Feature Selection Algorithm in Software Fault Prediction,Intra-release,defect-prone,2019,COMPUTER SCIENCE AND INFORMATION SYSTEMS,4,4,69,length,Halstead,traditional
58,An Empirical Study for Enhanced Software Defect Prediction Using a Learning-Based Framework,Intra-release,defect-prone,2019,INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,3,4,69,length,Halstead,traditional
59,A Hybrid Feature Selection Method for Software Fault Prediction,Intra-release,defect-prone,2019,IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,4,4,69,length,Halstead,traditional
68,A Novel Feature Selection Method Based on Maximum Likelihood Logistic Regression for Imbalanced Learning in Software Defect Prediction,Intra-release,defect-prone,2020,INTERNATIONAL ARAB JOURNAL OF INFORMATION TECHNOLOGY,4,4,69,length,Halstead,traditional
69,Software Defect Prediction Based on Stacked Contractive Autoencoder and Multi-Objective Optimization,Intra-release,defect-prone,2020,CMC-COMPUTERS MATERIALS & CONTINUA,3,4,69,length,Halstead,traditional
77,Improved prediction of software defects using ensemble machine learning techniques,Intra-release,defect-prone,2021,NEURAL COMPUTING & APPLICATIONS,2,3,69,length,Halstead,traditional
81,Feature Selection Using Artificial Immune Network: An Approach for Software Defect Prediction,Intra-release,defect-prone,2021,INTELLIGENT AUTOMATION AND SOFT COMPUTING,3,4,69,length,Halstead,traditional
82,A Novel Rank Aggregation-Based Hybrid Multifilter Wrapper Feature Selection Method in Software Defect Prediction,Intra-release,defect-prone,2021,COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE,2,3,69,length,Halstead,traditional
83,Discriminating features-based cost-sensitive approach for software defect prediction,Intra-release,defect-prone,2021,AUTOMATED SOFTWARE ENGINEERING,2,3,69,length,Halstead,traditional
84,Analysis and modeling conditional mutual dependency of metrics in software defect prediction using latent variables,Inter-release/Cross-project,defect-prone,2021,NEUROCOMPUTING,2,2,69,length,Halstead,traditional
89,Research on Cross-Company Defect Prediction Method to Improve Software Security,Cross-project(Cross-company),defect-prone,2021,SECURITY AND COMMUNICATION NETWORKS,3,4,69,length,Halstead,traditional
91,RFC: a feature selection algorithm for software defect prediction,Intra-release,defect-prone,2021,JOURNAL OF SYSTEMS ENGINEERING AND ELECTRONICS,3,3,69,length,Halstead,traditional
96,Software defect prediction based on stacked sparse denoising autoencoders and enhanced extreme learning machine,Intra-release,defect-prone,2022,IET SOFTWARE,3,4,69,length,Halstead,traditional
101,A Comparative Analysis of SVM and ELM Classification on Software Reliability Prediction Model,Intra-release,defect-prone,2022,ELECTRONICS,2,3,69,length,Halstead,traditional
102,A software defect prediction method with metric compensation based on feature selection and transfer learning,Cross-project,defect-prone,2022,FRONTIERS OF INFORMATION TECHNOLOGY & ELECTRONIC ENGINEERING,2,3,69,length,Halstead,traditional
104,Genetic Evolution-Based Feature Selection for Software Defect Prediction Using SVMs,Intra-release,defect-prone,2022,JOURNAL OF CIRCUITS SYSTEMS AND COMPUTERS,4,4,69,length,Halstead,traditional
106,Software fault prediction using evolving populations with mathematical diversification,Intra-release,defect-prone,2022,SOFT COMPUTING,2,3,69,length,Halstead,traditional
108,Improved mayfly optimization deep stacked sparse auto encoder feature selection scorched gradient descent driven dropout XLM learning framework for software defect prediction,Intra-release,defect-prone,2022,CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,3,4,69,length,Halstead,traditional
110,A novel multi-view ordinal classification approach for software bug prediction,Intra-release,defect-prone,2022,EXPERT SYSTEMS,2,4,69,length,Halstead,traditional
111,Causally Remove Negative Confound Effects of Size Metric for Software Defect Prediction,Intra-release,defect-prone,2022,APPLIED SCIENCES-BASEL,2,4,69,length,Halstead,traditional
115,A feature selection model for software defect prediction using binary Rao optimization algorithm,Intra-release,defect-prone,2022,APPLIED SOFT COMPUTING,1,2,69,length,Halstead,traditional
122,Combining Deep Learning and Kernel PCA for Software Defect Prediction,Intra-release,defect-prone,2022,Association for Computing Machinery,0,0,69,length,Halstead,traditional
124,Performance Analysis of Feature Selection Techniques in Software Defect Prediction using Machine Learning,Intra-release,defect-prone,2022,"2022 International Conference on Advancements in Smart, Secure and Intelligent Computing (ASSIC)",0,0,69,length,Halstead,traditional
125,Software Defect Density Prediction Using Deep Learning,Cross-project,defect-density,2022,IEEE Access,0,0,69,length,Halstead,traditional
127,Search-based Feature Selection for Cross-Project Fault Prediction,Cross-project,defect-prone,2022,2022 IEEE Pune Section International Conference (PuneCon),0,0,69,length,Halstead,traditional
142,An Empirical Study on The Impact of The Interaction between Feature Selection and Sampling in Defect Prediction,Intra-release,defect-prone,2020,2020 7th International Conference on Dependable Systems and Their Applications (DSA),0,0,69,length,Halstead,traditional
146,Deep learning based software defect prediction,Intra-release,defect-number,2020,Neurocomputing,0,0,69,length,Halstead,traditional
154,The Impact of Feature Selection on Defect Prediction Performance: An Empirical Comparison,Intra-release,defect-prone,2016,2016 IEEE 27th International Symposium on Software Reliability Engineering (ISSRE),0,0,69,length,Halstead,traditional
1,Predicting aging-related bugs using software complexity metrics,Inter-release,defect-prone,2013,PERFORMANCE EVALUATION,3,4,70,level,Halstead,traditional
2,Influence of confirmation biases of developers on software quality: an empirical study,Inter-release,defect-density,2013,SOFTWARE QUALITY JOURNAL,3,4,70,level,Halstead,traditional
5,A STUDY OF SOFTWARE METRIC SELECTION TECHNIQUES: STABILITY ANALYSIS AND DEFECT PREDICTION MODEL PERFORMANCE,Inter-release,defect-prone,2013,INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS,4,4,70,level,Halstead,traditional
7,Two-Stage Cost-Sensitive Learning for Software Defect Prediction,Intra-release,defect-prone,2014,IEEE TRANSACTIONS ON RELIABILITY,1,2,70,level,Halstead,traditional
14,Improving Recall of software defect prediction models using association mining,Intra-release,defect-prone,2015,KNOWLEDGE-BASED SYSTEMS,1,1,70,level,Halstead,traditional
18,Software defect prediction using ensemble learning on selected features,Intra-release,defect-prone,2015,INFORMATION AND SOFTWARE TECHNOLOGY,2,2,70,level,Halstead,traditional
25,Empirical analysis of network measures for predicting high severity software faults,Inter-release/Cross-project,defect-prone,2016,SCIENCE CHINA-INFORMATION SCIENCES,1,2,70,level,Halstead,traditional
27,SAMPLING IMBALANCE DATASET FOR SOFTWARE DEFECT PREDICTION USING HYBRID NEURO-FUZZY SYSTEMS WITH NAIVE BAYES CLASSIFIER,Intra-release,defect-prone,2016,TEHNICKI VJESNIK-TECHNICAL GAZETTE,4,4,70,level,Halstead,traditional
28,Empirical Studies of a Two-Stage Data Preprocessing Approach for Software Fault Prediction,Intra-release,defect-prone,2016,IEEE TRANSACTIONS ON RELIABILITY,1,2,70,level,Halstead,traditional
31,A Combined-Learning Based Framework for Improved Software Fault Prediction,Intra-release,defect-prone,2017,INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,3,4,70,level,Halstead,traditional
32,A feature selection approach based on a similarity measure for software defect prediction,Intra-release,defect-prone,2017,FRONTIERS OF INFORMATION TECHNOLOGY & ELECTRONIC ENGINEERING,2,3,70,level,Halstead,traditional
38,A Framework for Software Defect Prediction and Metric Selection,Intra-release,defect-prone,2018,IEEE ACCESS,2,3,70,level,Halstead,traditional
44,Deep neural network based hybrid approach for software defect prediction using software metrics,Intra-release,defect-prone,2019,CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,2,4,70,level,Halstead,traditional
48,Software defect prediction techniques using metrics based on neural network classifier,Intra-release,defect-prone,2019,CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,2,4,70,level,Halstead,traditional
49,Performance Analysis of Feature Selection Methods in Software Defect Prediction: A Search Method Approach,Intra-release,defect-prone,2019,APPLIED SCIENCES-BASEL,2,4,70,level,Halstead,traditional
